Date,Open,High,Low,Close,Volume,Adj Close
11/04/10,2569.27,2579.62,2564.05,2577.34,2492050000,2577.34
11/03/10,2532.83,2541.42,2511.31,2540.27,1990410000,2540.27
11/02/10,2525.94,2534.88,2518.29,2533.52,1914980000,2533.52
11/01/10,2520.45,2532.37,2491.46,2504.84,1904790000,2504.84
10/29/10,2505.99,2517.5,2505.86,2507.41,2068700000,2507.41
10/28/10,2516.16,2516.2,2489.76,2507.37,1998340000,2507.37
10/27/10,2484.09,2505.35,2478.01,2503.26,2013240000,2503.26
10/26/10,2476.51,2503.03,2470.12,2497.29,1914350000,2497.29
10/25/10,2491.62,2507.03,2490.11,2490.85,1746320000,2490.85
10/22/10,2461.6,2479.39,2459.43,2479.39,1648180000,2479.39
10/21/10,2470.72,2482.14,2436.34,2459.67,2135480000,2459.67
10/20/10,2443.2,2469.72,2441.07,2457.39,2016770000,2457.39
10/19/10,2442.21,2462.94,2422.14,2436.95,2241840000,2436.95
10/18/10,2470.12,2480.95,2462.55,2480.66,1724710000,2480.66
10/15/10,2461.7,2468.77,2438.03,2468.77,2232810000,2468.77
10/14/10,2441.21,2445.85,2422.07,2435.38,2014540000,2435.38
10/13/10,2432.55,2452.54,2426.52,2441.23,2294450000,2441.23
10/12/10,2397.7,2421.79,2379.39,2417.92,1960920000,2417.92
10/11/10,2403.46,2413.03,2397.57,2402.33,1539990000,2402.33
10/08/10,2384.76,2406.67,2370.53,2401.91,2000980000,2401.91
10/07/10,2391.63,2392.74,2368.25,2383.67,1846240000,2383.67
10/06/10,2395.16,2399.13,2368.43,2380.66,2103800000,2380.66
10/05/10,2368.52,2402.42,2366.06,2399.83,2203470000,2399.83
10/04/10,2362.25,2370.87,2332.46,2344.52,1901980000,2344.52
10/01/10,2386.82,2389.45,2359.32,2370.75,1932650000,2370.75
09/30/10,2390.96,2400.06,2354.22,2368.62,2418300000,2368.62
09/29/10,2372.37,2382.15,2366.19,2376.56,2077930000,2376.56
09/28/10,2373.13,2383.67,2339.5,2379.59,2125730000,2379.59
09/27/10,2379.73,2386.01,2368.65,2369.77,1873120000,2369.77
09/24/10,2356.26,2381.22,2353.5,2381.22,1993380000,2381.22
09/23/10,2316.71,2353.79,2316.11,2327.08,1923110000,2327.08
09/22/10,2339.91,2355.91,2323.55,2334.55,2170210000,2334.55
09/21/10,2355.27,2366.76,2341.82,2349.35,2125100000,2349.35
09/20/10,2322.8,2358.9,2317.89,2355.83,1989520000,2355.83
09/17/10,2318.42,2320.37,2301.82,2315.61,2432480000,2315.61
09/16/10,2297.51,2304.95,2288.71,2303.25,1809280000,2303.25
09/15/10,2283.17,2304.6,2276.32,2301.32,2067130000,2301.32
09/14/10,2281.31,2302.57,2274.57,2289.77,2079030000,2289.77
09/13/10,2263.8,2289.49,2263.69,2285.71,1937630000,2285.71
09/10/10,2239.08,2246.6,2229.12,2242.48,1692470000,2242.48
09/09/10,2251.09,2251.98,2229.8,2236.2,1706650000,2236.2
09/08/10,2216.07,2237.42,2215.9,2228.87,2018210000,2228.87
09/07/10,2227.26,2231.28,2206.62,2208.89,1685240000,2208.89
09/03/10,2227.96,2235.57,2213.56,2233.75,1647790000,2233.75
09/02/10,2178.99,2200.01,2173.71,2200.01,1680590000,2200.01
09/01/10,2142.75,2177.5,2141.95,2176.84,2133970000,2176.84
08/31/10,2109.76,2128.9,2101.52,2114.03,2084110000,2114.03
08/30/10,2145.76,2154.47,2119.93,2119.97,1585200000,2119.97
08/27/10,2134.16,2154.99,2099.29,2153.63,2134550000,2153.63
08/26/10,2148.49,2154.32,2116.82,2118.69,1804510000,2118.69
08/25/10,2109.15,2148.35,2102.26,2141.54,2019480000,2141.54
08/24/10,2131,2144.2,2113.71,2123.76,2141650000,2123.76
08/23/10,2188.34,2200.52,2159.44,2159.63,1665900000,2159.63
08/20/10,2172.26,2182.67,2159.54,2179.76,1898500000,2179.76
08/19/10,2204.8,2211.73,2168.74,2178.95,2094800000,2178.95
08/18/10,2205.3,2228.9,2196.11,2215.7,1654560000,2215.7
08/17/10,2197.09,2225.08,2193.42,2209.44,1736870000,2209.44
08/16/10,2161.31,2193.84,2155.66,2181.87,1627620000,2181.87
08/13/10,2183.09,2190.27,2173.48,2173.48,1605040000,2173.48
08/12/10,2164.64,2197.97,2163.07,2190.27,2189680000,2190.27
08/11/10,2236.93,2236.93,2204.94,2208.63,2274460000,2208.63
08/10/10,2280.06,2290.51,2261.5,2277.17,2039590000,2277.17
08/09/10,2298.81,2309.43,2289.03,2305.69,1614580000,2305.69
08/06/10,2267.42,2291.15,2253.92,2288.47,1876630000,2288.47
08/05/10,2291.22,2298.86,2281.68,2293.06,1774300000,2293.06
08/04/10,2291.09,2305.07,2283.21,2303.57,2021980000,2303.57
08/03/10,2291.75,2295.03,2272.33,2283.52,1997030000,2283.52
08/02/10,2283.32,2299.24,2274.27,2295.36,1953200000,2295.36
07/30/10,2227.29,2264.81,2218.61,2254.7,2138610000,2254.7
07/29/10,2279.07,2282.94,2228.52,2251.69,2324590000,2251.69
07/28/10,2284.62,2292.24,2257.76,2264.56,1848520000,2264.56
07/27/10,2306.62,2307.6,2280.72,2288.25,2065390000,2288.25
07/26/10,2271.62,2296.43,2262.96,2296.43,2164280000,2296.43
07/23/10,2234.34,2269.47,2227.5,2269.47,2410600000,2269.47
07/22/10,2216.04,2251.42,2216.04,2245.89,2213220000,2245.89
07/21/10,2236.13,2236.37,2183.22,2187.33,2222030000,2187.33
07/20/10,2165.35,2222.61,2159.95,2222.49,1933270000,2222.49
07/19/10,2185.81,2201.29,2171.2,2198.23,1735090000,2198.23
07/16/10,2231.71,2236.66,2177.51,2179.05,2195150000,2179.05
07/15/10,2247.76,2253.33,2218.92,2249.08,2011600000,2249.08
07/14/10,2246.99,2260.33,2235.15,2249.84,2213010000,2249.84
07/13/10,2221.25,2248.16,2212.97,2242.03,2278480000,2242.03
07/12/10,2194.12,2213.39,2183.52,2198.36,1767970000,2198.36
07/09/10,2174.2,2196.95,2170.76,2196.45,1592610000,2196.45
07/08/10,2174.96,2181.3,2150.19,2175.4,2034030000,2175.4
07/07/10,2099.66,2159.79,2098.11,2159.47,2199500000,2159.47
07/06/10,2122.28,2136.3,2077.77,2093.88,2173030000,2093.88
07/02/10,2105.5,2110.66,2077.71,2091.79,1672320000,2091.79
07/01/10,2110.75,2117.94,2061.14,2101.36,2717070000,2101.36
06/30/10,2134.03,2153.36,2105.26,2109.24,2221560000,2109.24
06/29/10,2183.92,2185.3,2122.67,2135.18,2827090000,2135.18
06/28/10,2227.43,2241.64,2208.37,2220.65,1876740000,2220.65
06/25/10,2224.73,2240.88,2205.92,2223.48,3540350000,2223.48
06/24/10,2246.2,2247.42,2213.5,2217.42,2064360000,2217.42
