Date,Adj Close,Date,Adj Close,End Date,SEK/GBP,SEK/EUR
"Dec 2, 2011",185.50,"Dec 2, 2011",9.26,"Dec 2, 2011",0.0942,0.1098
"Dec 1, 2011",189.00,"Dec 1, 2011",9.55,"Dec 1, 2011",0.0934,0.1092
"Nov 30, 2011",190.00,"Nov 30, 2011",9.64,"Nov 30, 2011",0.0928,0.1082
"Nov 29, 2011",185.40,"Nov 29, 2011",9.27,"Nov 29, 2011",0.0927,0.1080
"Nov 28, 2011",183.40,"Nov 28, 2011",9.18,"Nov 28, 2011",0.0924,0.1078
"Nov 25, 2011",177.20,"Nov 25, 2011",8.83,"Nov 25, 2011",0.0931,0.1082
"Nov 24, 2011",176.50,"Nov 24, 2011",8.69,"Nov 24, 2011",0.0933,0.1084
"Nov 23, 2011",176.60,"Nov 23, 2011",8.74,"Nov 23, 2011",0.0938,0.1087
"Nov 22, 2011",181.20,"Nov 22, 2011",8.95,"Nov 22, 2011",0.0937,0.1090
"Nov 21, 2011",181.00,"Nov 21, 2011",8.99,"Nov 21, 2011",0.0933,0.1090
"Nov 18, 2011",186.10,"Nov 18, 2011",9.30,"Nov 18, 2011",0.0934,0.1091
"Nov 17, 2011",184.90,"Nov 17, 2011",9.24,"Nov 17, 2011",0.0936,0.1095
"Nov 16, 2011",189.20,"Nov 16, 2011",9.23,"Nov 16, 2011",0.0937,0.1096
"Nov 15, 2011",192.30,"Nov 15, 2011",9.29,"Nov 15, 2011",0.0941,0.1099
"Nov 14, 2011",191.90,"Nov 14, 2011",9.38,"Nov 14, 2011",0.0942,0.1099
"Nov 11, 2011",190.90,"Nov 11, 2011",9.43,"Nov 11, 2011",0.0939,0.1103
"Nov 10, 2011",188.40,"Nov 10, 2011",9.11,"Nov 10, 2011",0.0945,0.1105
"Nov 9, 2011",189.90,"Nov 9, 2011",8.79,"Nov 9, 2011",0.0949,0.1107
"Nov 8, 2011",193.10,"Nov 8, 2011",9.01,"Nov 8, 2011",0.0947,0.1103
"Nov 7, 2011",190.90,"Nov 7, 2011",8.94,"Nov 7, 2011",0.0947,0.1103
"Nov 4, 2011",191.20,"Nov 4, 2011",9.02,"Nov 4, 2011",0.0948,0.1102
"Nov 3, 2011",192.70,"Nov 3, 2011",9.24,"Nov 3, 2011",0.0948,0.1102
"Nov 2, 2011",187.40,"Nov 2, 2011",9.10,"Nov 2, 2011",0.0951,0.1106
"Nov 1, 2011",180.60,"Nov 1, 2011",8.89,"Nov 1, 2011",0.0967,0.1109
"Oct 31, 2011",188.10,"Oct 31, 2011",9.19,"Oct 31, 2011",0.0972,0.1107
"Oct 28, 2011",187.90,"Oct 28, 2011",9.35,"Oct 28, 2011",0.0969,0.1107
"Oct 27, 2011",190.20,"Oct 27, 2011",9.43,"Oct 27, 2011",0.0956,0.1099
"Oct 26, 2011",184.60,"Oct 26, 2011",9.05,"Oct 26, 2011",0.0955,0.1098
