Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2024-11-15;244.00;243.10;243.10;243.6141;1253;305,248.5
2024-11-14;247.40;245.60;245.60;246.4553;4840;1,192,843.6
2024-11-13;245.30;243.90;245.30;244.8997;5153;1,261,967.89
2024-11-12;245.90;245.20;245.70;245.5846;991;243,374.3
2024-11-11;246.20;244.80;245.90;245.8969;4822;1,185,714.8
2024-11-08;242.50;241.40;242.50;242.0702;2220;537,395.9
2024-11-07;241.50;241.00;241.20;241.1219;1551;373,980.1
2024-11-06;241.10;239.40;239.50;240.5442;7997;1,923,631.7
2024-11-05;233.00;231.10;233.00;231.5888;1890;437,702.8
2024-11-04;232.30;231.30;231.90;231.6218;1950;451,662.5
2024-11-01;233.30;231.60;233.30;231.9494;5642;1,308,658.3
2024-10-31;233.50;231.60;231.70;232.4642;4151;964,958.9
2024-10-30;236.70;235.60;236.10;236.219;11480;2,711,794
2024-10-29;237.00;236.60;237.00;236.8023;3039;719,642.2
2024-10-28;237.20;235.90;236.80;236.9678;974;230,806.6
2024-10-25;237.20;236.30;237.20;236.7102;2226;526,917
2024-10-24;237.20;236.40;236.50;236.696;3383;800,742.4
2024-10-23;238.00;237.10;237.70;237.3724;1313;311,669.9
2024-10-22;237.30;236.00;237.30;236.9358;1348;319,389.4
2024-10-21;238.30;237.40;237.40;237.6982;2443;580,696.6
2024-10-18;238.00;237.50;237.80;237.7457;1767;420,096.6
2024-10-17;238.80;237.20;237.80;238.0384;2379;566,293.4
2024-10-16;235.80;235.20;235.20;235.4986;6218;1,464,330.3
2024-10-15;237.20;236.70;236.70;236.9051;3761;891
2024-10-14;235.80;235.10;235.80;235.4286;1658;390,340.7
2024-10-11;234.70;233.10;234.70;233.7315;2698;630,607.6
2024-10-10;233.80;233.00;233.70;233.4743;1976;461,345.3
2024-10-09;232.40;231.40;231.90;231.6902;3306;765,967.7
2024-10-08;231.40;229.70;231.40;230.1183;3551;817,15
2024-10-07;231.70;231.30;231.60;231.4974;2713;628,052.5
